id,y
0,1
1,0
2,1
3,2
4,1
5,0
6,1
7,0
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,1
21,1
22,1
23,0
24,2
25,2
26,2
27,1
28,0
29,1
30,1
31,1
32,1
33,2
34,0
35,1
36,1
37,0
38,1
39,2
40,2
41,2
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,1
50,2
51,2
52,1
53,1
54,2
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,2
63,0
64,2
65,0
66,1
67,2
68,1
69,2
70,1
71,1
72,2
73,2
74,1
75,1
76,1
77,1
78,2
79,2
80,0
81,1
82,2
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,2
91,1
92,1
93,1
94,1
95,1
96,2
97,1
98,0
99,0
100,1
101,2
102,1
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,2
131,1
132,1
133,1
134,2
135,1
136,0
137,1
138,2
139,2
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,2
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,2
167,1
168,1
169,0
170,2
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,2
181,1
182,1
183,1
184,1
185,1
186,1
187,2
188,1
189,0
190,1
191,2
192,2
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,2
203,2
204,2
205,1
206,2
207,0
208,1
209,1
210,2
211,2
212,0
213,0
214,2
215,2
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,2
232,2
233,1
234,0
235,2
236,1
237,1
238,2
239,0
240,2
241,2
242,2
243,1
244,1
245,1
246,0
247,2
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,2
257,1
258,1
259,1
260,1
261,1
262,1
263,2
264,1
265,1
266,1
267,2
268,0
269,2
270,1
271,2
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,2
284,1
285,2
286,2
287,0
288,2
289,1
290,1
291,2
292,1
293,2
294,1
295,2
296,1
297,1
298,1
299,1
300,1
301,2
302,0
303,0
304,1
305,1
306,2
307,1
308,1
309,1
310,1
311,0
312,1
313,0
314,2
315,0
316,2
317,1
318,2
319,1
320,1
321,2
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,2
338,2
339,2
340,1
341,1
342,1
343,2
344,1
345,2
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,2
354,0
355,2
356,2
357,1
358,1
359,1
360,2
361,1
362,2
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,2
374,2
375,1
376,0
377,1
378,1
379,2
380,2
381,0
382,2
383,2
384,1
385,1
386,2
387,1
388,1
389,1
390,1
391,2
392,1
393,1
394,1
395,1
396,1
397,1
398,2
399,1
400,1
401,1
402,0
403,0
404,2
405,1
406,0
407,0
408,0
409,2
410,1
411,2
412,2
413,1
414,2
415,1
416,0
417,1
418,0
419,1
420,0
421,0
422,2
423,0
424,1
425,1
426,1
427,1
428,2
429,1
430,2
431,2
432,2
433,1
434,2
435,1
436,1
437,0
438,1
439,1
440,2
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,2
450,1
451,0
452,0
453,2
454,1
455,1
456,1
457,1
458,1
459,2
460,1
461,1
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,2
471,1
472,1
473,1
474,1
475,1
476,2
477,2
478,1
479,2
480,1
481,1
482,0
483,2
484,1
485,0
486,1
487,2
488,0
489,1
490,0
491,1
492,0
493,1
494,1
495,1
496,2
497,0
498,0
499,0
500,2
501,1
502,0
503,1
504,0
505,1
506,1
507,2
508,2
509,1
510,1
511,1
512,2
513,1
514,2
515,0
516,0
517,1
518,1
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,1
527,2
528,2
529,0
530,2
531,1
532,1
533,1
534,0
535,1
536,0
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,2
548,1
549,0
550,1
551,2
552,1
553,1
554,2
555,0
556,1
557,1
558,2
559,0
560,0
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,2
577,0
578,1
579,0
580,1
581,1
582,1
583,1
584,0
585,1
586,2
587,1
588,0
589,2
590,1
591,1
592,1
593,0
594,0
595,0
596,1
597,0
598,2
599,1
600,1
601,0
602,0
603,1
604,2
605,0
606,1
607,1
608,0
609,0
610,2
611,1
612,2
613,0
614,1
615,2
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,2
624,1
625,0
626,1
627,1
628,1
629,2
630,0
631,2
632,0
633,0
634,0
635,1
636,2
637,2
638,2
639,0
640,0
641,2
642,1
643,1
644,0
645,2
646,1
647,2
648,0
649,2
650,0
651,2
652,1
653,2
654,2
655,1
656,0
657,1
658,1
659,2
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,2
668,2
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,0
679,2
680,1
681,1
682,1
683,0
684,1
685,2
686,0
687,0
688,0
689,1
690,1
691,2
692,2
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,1
705,1
706,2
707,1
708,2
709,2
710,2
711,1
712,2
713,2
714,0
715,1
716,1
717,2
718,0
719,2
720,2
721,2
722,2
723,2
724,1
725,2
726,1
727,1
728,2
729,0
730,0
731,1
732,1
733,0
734,1
735,2
736,1
737,1
738,2
739,1
740,2
741,0
742,1
743,1
744,1
745,2
746,1
747,2
748,0
749,2
750,2
751,1
752,0
753,1
754,1
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,2
766,1
767,1
768,1
769,2
770,1
771,1
772,2
773,1
774,1
775,1
776,0
777,1
778,2
779,0
780,2
781,1
782,0
783,2
784,2
785,2
786,2
787,2
788,0
789,1
790,1
791,1
792,1
793,1
794,2
795,1
796,1
797,1
798,0
799,2
800,2
801,0
802,1
803,1
804,1
805,0
806,1
807,1
808,1
809,0
810,1
811,1
812,2
813,2
814,1
815,2
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,2
824,2
825,1
826,1
827,0
828,2
829,1
830,1
831,1
832,1
833,1
834,0
835,1
836,1
837,1
838,1
839,2
840,1
841,0
842,1
843,1
844,1
845,0
846,0
847,2
848,0
849,0
850,2
851,1
852,1
853,1
854,1
855,1
856,1
857,0
858,1
859,1
860,1
861,2
862,1
863,1
864,0
865,1
866,0
867,1
868,1
869,1
870,2
871,0
872,1
873,1
874,1
875,2
876,1
877,0
878,1
879,1
880,1
881,1
882,1
883,2
884,1
885,1
886,1
887,2
888,1
889,2
890,1
891,2
892,1
893,1
894,1
895,1
896,1
897,0
898,0
899,1
900,1
901,0
902,2
903,2
904,0
905,0
906,1
907,1
908,1
909,0
910,0
911,1
912,1
913,1
914,1
915,1
916,0
917,1
918,0
919,1
920,2
921,1
922,0
923,0
924,1
925,2
926,1
927,0
928,1
929,1
930,1
931,2
932,2
933,1
934,1
935,1
936,1
937,2
938,0
939,2
940,1
941,2
942,1
943,2
944,1
945,1
946,1
947,2
948,1
949,2
950,1
951,2
952,1
953,1
954,2
955,0
956,0
957,1
958,2
959,0
960,2
961,0
962,2
963,1
964,1
965,1
966,2
967,1
968,1
969,2
970,1
971,1
972,2
973,1
974,0
975,1
976,2
977,0
978,0
979,2
980,1
981,2
982,2
983,1
984,0
985,2
986,2
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,2
995,2
996,2
997,1
998,0
999,1
1000,1
1001,1
1002,2
1003,2
1004,1
1005,2
1006,2
1007,1
1008,1
1009,1
1010,0
1011,0
1012,1
1013,1
1014,1
1015,2
1016,2
1017,0
1018,1
1019,1
1020,2
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,2
1031,2
1032,0
1033,1
1034,0
1035,2
1036,2
1037,0
1038,0
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,1
1047,1
1048,2
1049,0
1050,1
1051,1
1052,0
1053,1
1054,2
1055,0
1056,0
1057,1
1058,0
1059,2
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,2
1068,2
1069,1
1070,1
1071,2
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,1
1080,2
1081,1
1082,0
1083,1
1084,2
1085,1
1086,1
1087,2
1088,1
1089,1
1090,2
1091,1
1092,2
1093,1
1094,0
1095,1
1096,1
1097,0
1098,0
1099,0
1100,1
1101,1
1102,1
1103,0
1104,1
1105,1
1106,2
1107,1
1108,1
1109,2
1110,1
1111,2
1112,1
1113,1
1114,1
1115,2
1116,1
1117,1
1118,2
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,2
1126,0
1127,2
1128,0
1129,1
1130,1
1131,1
1132,1
1133,2
1134,2
1135,1
1136,1
1137,2
1138,1
1139,1
1140,2
1141,0
1142,1
1143,1
1144,0
1145,0
1146,0
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,1
1154,1
1155,1
1156,1
1157,1
1158,0
1159,1
1160,2
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,2
1171,2
1172,1
1173,0
1174,1
1175,2
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,1
1185,1
1186,0
1187,1
1188,0
1189,2
1190,0
1191,0
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,1
1199,1
1200,0
1201,1
1202,1
1203,1
1204,1
1205,1
1206,2
1207,2
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,0
1216,0
1217,2
1218,1
1219,0
1220,2
1221,1
1222,0
1223,1
1224,0
1225,1
1226,1
1227,1
1228,1
1229,0
1230,2
